Country,Happiness Score,GDP per capita,Family,Health,Freedom,Generosity,Trust,Happiness Target,GDP Target,Year
Libya*,5.33,1.476,"0,943","0,606","0,477","0,106","0,179",Low-Mid,Top-Mid,2022
Indonesia,5.24,1.382,"0,883","0,539","0,620","0,468","0,047",Low-Mid,Low-Mid,2022
Ivory Coast,5.235,1.094,"0,442","0,322","0,451","0,149","0,124",Low-Mid,Low,2022
North Macedonia,5.199,1.505,"0,863","0,637","0,488","0,215","0,031",Low-Mid,Top-Mid,2022
Albania,5.199,1.439,"0,646","0,719","0,511","0,138","0,028",Low-Mid,Low-Mid,2022
South Africa,5.194,1.425,"1,088","0,361","0,442","0,089","0,046",Low-Mid,Low-Mid,2022
Azerbaijan*,5.173,1.458,"1,093","0,560","0,601","0,023","0,341",Low-Mid,Top-Mid,2022
Gambia*,5.164,0.785,"0,621","0,369","0,367","0,388","0,103",Low-Mid,Low,2022
Bangladesh,5.155,1.06,"0,614","0,581","0,622","0,125","0,187",Low-Mid,Low,2022
Laos,5.14,1.239,"0,654","0,479","0,679","0,197","0,184",Low-Mid,Low-Mid,2022
Algeria,5.122,1.363,"0,970","0,643","0,146","0,106","0,150",Low-Mid,Low-Mid,2022
Liberia*,5.122,0.636,"0,670","0,309","0,405","0,178","0,080",Low-Mid,Low,2022
Ukraine,5.084,1.411,"1,081","0,583","0,473","0,188","0,017",Low-Mid,Low-Mid,2022
Congo,5.075,0.95,"0,405","0,355","0,431","0,130","0,146",Low-Mid,Low,2022
Morocco,5.06,1.208,"0,268","0,565","0,492","0,020","0,102",Low-Mid,Low-Mid,2022
Mozambique,5.048,0.578,"0,660","0,191","0,593","0,185","0,200",Low-Mid,Low,2022
Cameroon,5.048,0.968,"0,672","0,317","0,397","0,152","0,074",Low-Mid,Low,2022
Senegal,5.046,0.933,"0,530","0,447","0,494","0,143","0,081",Low-Mid,Low,2022
Niger*,5.003,0.57,"0,560","0,326","0,571","0,165","0,145",Low-Mid,Low,2022
Georgia,4.973,1.467,"0,612","0,595","0,508","0,000","0,208",Low-Mid,Top-Mid,2022
Gabon,4.958,1.459,"0,738","0,396","0,343","0,032","0,099",Low-Mid,Top-Mid,2022
Iraq,4.941,1.289,"0,682","0,554","0,328","0,147","0,046",Low-Mid,Low-Mid,2022
Venezuela,4.925,0.0,"0,968","0,578","0,283","0,225","0,082",Low-Mid,Low,2022
Guinea,4.891,0.848,"0,566","0,275","0,334","0,214","0,116",Low-Mid,Low,2022
Iran,4.888,1.41,"0,741","0,642","0,281","0,241","0,146",Low,Low-Mid,2022
Ghana,4.872,1.112,"0,595","0,409","0,500","0,230","0,056",Low,Low-Mid,2022
Turkey,4.744,1.707,"0,865","0,702","0,209","0,087","0,115",Low,Top-Mid,2022
Burkina Faso,4.67,0.779,"0,565","0,320","0,382","0,186","0,126",Low,Low,2022
Cambodia,4.64,1.019,"0,732","0,505","0,740","0,166","0,068",Low,Low,2022
Benin,4.623,0.932,"0,064","0,335","0,479","0,127","0,230",Low,Low,2022
Comoros*,4.609,0.899,"0,476","0,424","0,185","0,195","0,125",Low,Low,2022
Uganda,4.603,0.777,"0,875","0,418","0,402","0,222","0,066",Low,Low,2022
Nigeria,4.552,1.079,"0,732","0,300","0,444","0,175","0,038",Low,Low,2022
Kenya,4.543,1.032,"0,605","0,401","0,440","0,322","0,082",Low,Low,2022
Tunisia,4.516,1.35,"0,596","0,656","0,316","0,029","0,029",Low,Low-Mid,2022
Pakistan,4.516,1.049,"0,413","0,374","0,448","0,181","0,112",Low,Low,2022
Palestinian Territories*,4.483,1.148,"0,957","0,521","0,336","0,073","0,079",Low,Low-Mid,2022
Mali,4.479,0.792,"0,483","0,311","0,350","0,128","0,042",Low,Low,2022
Namibia,4.459,1.292,"0,877","0,354","0,384","0,067","0,071",Low,Low-Mid,2022
"Eswatini, Kingdom of*",4.396,1.274,"0,786","0,197","0,259","0,038","0,154",Low,Low-Mid,2022
Myanmar,4.394,1.038,"0,829","0,491","0,513","0,452","0,194",Low,Low,2022
Sri Lanka,4.362,1.415,"0,934","0,660","0,529","0,150","0,079",Low,Low-Mid,2022
Madagascar*,4.339,0.67,"0,645","0,378","0,202","0,143","0,154",Low,Low,2022
Egypt,4.288,1.388,"0,732","0,548","0,469","0,041","0,254",Low,Low-Mid,2022
Chad*,4.251,0.662,"0,506","0,225","0,180","0,182","0,077",Low,Low,2022
Ethiopia,4.241,0.788,"0,809","0,457","0,472","0,205","0,136",Low,Low,2022
Yemen*,4.197,0.691,"1,043","0,384","0,330","0,090","0,098",Low,Low,2022
Mauritania*,4.153,1.1,"0,865","0,450","0,304","0,088","0,138",Low,Low-Mid,2022
Jordan,4.152,1.324,"0,724","0,675","0,476","0,058","0,200",Low,Low-Mid,2022
Togo,4.112,0.771,"0,322","0,360","0,292","0,174","0,132",Low,Low,2022
India,3.777,1.167,"0,376","0,471","0,647","0,198","0,123",Low,Low-Mid,2022
Zambia,3.76,0.93,"0,577","0,306","0,525","0,203","0,083",Low,Low,2022
Malawi,3.75,0.648,"0,279","0,388","0,477","0,140","0,157",Low,Low,2022
Tanzania,3.702,0.848,"0,597","0,425","0,578","0,248","0,270",Low,Low,2022
Sierra Leone,3.574,0.686,"0,416","0,273","0,387","0,202","0,055",Low,Low,2022
Lesotho*,3.512,0.839,"0,848","0,000","0,419","0,076","0,018",Low,Low,2022
Botswana*,3.471,1.503,"0,815","0,280","0,571","0,012","0,102",Low,Top-Mid,2022
Rwanda*,3.268,0.785,"0,133","0,462","0,621","0,187","0,544",Low,Low,2022
Zimbabwe,2.995,0.947,"0,690","0,270","0,329","0,106","0,105",Low,Low,2022
Lebanon,2.955,1.392,"0,498","0,631","0,103","0,082","0,034",Low,Low-Mid,2022
Afghanistan,2.404,0.758,"0,000","0,289","0,000","0,089","0,005",Low,Low,2022
